employee_id,jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,departemen,lama_bekerja_tahun,tipe_perusahaan,status_wfh,jam_kerja_per_hari,jam_lembur_per_hari,jam_tidur_per_hari,kualitas_tidur,frekuensi_olahraga_per_minggu,jam_layar_per_hari,tingkat_stres,kepuasan_kerja,work_life_balance,produktivitas_diri,dukungan_atasan,frekuensi_meeting_per_hari,jumlah_deadline_per_minggu,beban_kerja_persepsi,status_merokok,riwayat_kesehatan_mental,keluhan_fisik_utama,keamanan_pekerjaan,frekuensi_konflik_kerja,tingkat_burnout_label
EMP13450,,35.0,S1,Belum Menikah,Operations,3.9,Freelance,Ya,10.8,3.6,5.6,3.5,2.3,9.2,9.5,1.2,2.4,3.3,1.8,4.0,4.0,Berat,Kadang,Kecemasan,Kelelahan,Cukup Aman,6.9,High
EMP12138,Perempuan,25.0,SMA/SMK,Belum Menikah,Operations,6.5,Corporate,Hybrid,9.5,0.5,7.0,5.9,2.6,10.1,3.1,7.9,7.2,5.8,5.8,2.0,1.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Sangat Aman,1.0,Low
EMP10862,Laki-laki,18.0,SMA/SMK,Belum Menikah,Marketing,tidak tahu,Startup,Hybrid,12.9,3.0,4.3,1.5,0.2,8.7,8.2,5.0,5.3,4.4,4.7,3.0,4.0,Sedang,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,8.1,High
EMP17923,Perempuan,28.0,SMA/SMK,Belum Menikah,HR,12.8,BUMN,Tidak,12.6,1.9,6.2,4.1,1.4,8.4,8.7,3.5,3.9,4.1,3.8,3.0,4.0,Berat,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,8.5,High
EMP00028,Laki-laki,18.0,S1,Menikah,Sales,4.6,BUMN,Ya,9.7,0.7,6.0,3.4,1.9,11.3,7.5,7.2,6.6,5.3,6.7,3.0,3.0,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Cukup Aman,2.8,Medium
EMP07180,Laki-laki,29.0,S2,Menikah,Operations,0.4,Freelance,Ya,9.0,1.6,5.7,3.9,1.2,7.3,6.6,5.4,6.5,6.2,5.4,5.0,2.0,Berat,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,4.4,Medium
EMP13253,Laki-laki,32.0,D3,Menikah,Finance,4.4,Startup,Hybrid,9.8,0.0,6.5,6.2,2.1,9.8,6.3,7.5,5.7,7.4,6.1,3.0,5.0,Berat,Tidak,Tidak Ada,Nyeri Punggung,Aman,2.7,Medium
EMP00589,Laki-laki,22.0,SMA/SMK,Belum Menikah,Operations,1.2,Swasta,Hybrid,7.2,2.7,6.7,3.2,2.0,10.1,5.2,7.6,4.4,6.5,4.9,4.0,4.0,Sedang,Kadang,Tidak Ada,Nyeri Punggung,Tidak Aman,2.3,Medium
EMP04060,Laki-laki,43.0,S2,Belum Menikah,Product,0.9,Startup,Hybrid,11.2,2.8,4.9,2.3,2.0,6.6,9.4,2.5,4.0,4.2,2.9,6.0,5.0,Berat,Tidak,Tidak Ada,Kelelahan,Cukup Aman,8.2,High
EMP10479,Laki-laki,26.0,D3,Belum Menikah,Engineering,1.2,Corporate,Tidak,8.5,0.0,7.4,7.8,3.1,7.0,6.2,9.0,8.4,8.1,7.8,2.0,1.0,Sedang,Tidak,Pernah Depresi,Tidak Ada,Aman,1.0,Low
EMP09570,Laki-laki,34.0,S1,Belum Menikah,Data,3.3,Startup,Tidak,5.1,0.0,6.2,6.9,4.3,7.5,3.0,7.7,6.8,8.2,7.5,1.0,0.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,9.15,Low
EMP10590,Perempuan,28.0,S1,Menikah,Data,2.0,Freelance,,9.8,0.9,7.3,4.5,1.2,8.6,,5.2,7.3,5.7,5.8,4.0,5.0,Sedang,Ya,Tidak Ada,Nyeri Punggung,Aman,4.7,Medium
EMP08265,Perempuan,26.0,S2,Belum Menikah,Marketing,4.9,Startup,Ya,9.8,1.5,6.2,5.2,1.9,4.2,6.4,5.5,9.8,6.7,5.3,3.0,4.0,Berat,Ya,Tidak Ada,Tidak Ada,Aman,5.2,Medium
EMP15600,Perempuan,24.0,SMA/SMK,Menikah,Marketing,4.0,Startup,Ya,5.0,0.2,7.1,6.8,4.5,7.0,5.2,6.6,6.2,6.4,8.8,2.0,1.0,Sedang,Tidak,Pernah Depresi,Sakit Kepala,Aman,1.8,Low
EMP11754,Laki-laki,28.0,S2,Menikah,Engineering,1.0,Freelance,Ya,10.6,1.9,6.5,2.7,1.4,7.2,6.5,4.8,4.7,5.1,3.9,2.0,2.0,Sedang,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,5.9,Medium
EMP05981,Perempuan,31.0,S1,Menikah,Operations,0.8,Freelance,Hybrid,8.5,1.0,7.4,8.0,2.5,5.2,4.1,6.9,9.9,6.9,5.6,1.0,1.0,Sangat Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,4.2,Low
EMP02947,Laki-laki,32.0,S2,Menikah,IT,5.9,BUMN,Tidak,10.8,0.0,8.3,9.1,3.0,4.5,3.0,5.8,6.5,7.8,7.7,1.0,1.0,Sangat Ringan,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,1.0,Low
EMP10927,Perempuan,23.0,S1,Menikah,Sales,8.5,Swasta,Ya,8.9,2.6,6.3,3.9,1.6,8.7,4.6,6.2,4.6,6.4,5.7,4.0,3.0,Sedang,Ya,Pernah Depresi,Sakit Kepala,Tidak Aman,2.9,Medium
EMP04890,Laki-laki,32.0,S1,Belum Menikah,HR,9.4,Corporate,Tidak,10.2,0.7,5.8,6.8,2.0,11.4,7.0,4.9,7.2,6.2,5.0,2.0,1.0,Sedang,Tidak,,Tidak Ada,Cukup Aman,5.0,Medium
EMP05903,Laki-laki,30.0,SMA/SMK,Belum Menikah,Finance,3.2,Corporate,Ya,8.0,1.4,7.5,6.6,3.0,6.5,4.6,8.0,5.1,7.1,4.6,0.0,2.0,Sedang,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,2.5,Low
EMP16200,Laki-laki,35.0,S1,Menikah,IT,5.0,Corporate,Tidak,8.8,0.6,7.6,2.1,0.5,8.8,7.1,5.0,3.6,6.3,6.5,4.0,3.0,sedang,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,5.8,Medium
EMP06542,Laki-laki,28.0,D3,Menikah,Marketing,0.4,Startup,Ya,8.2,1.2,4.6,4.9,1.4,6.3,7.1,6.1,6.2,6.2,4.7,5.0,2.0,Ringan,Tidak,Pernah Depresi,Nyeri Punggung,Cukup Aman,6.6,Medium
EMP14515,Perempuan,30.0,SMA/SMK,Belum Menikah,Engineering,7.5,Swasta,Tidak,10.4,1.0,7.7,4.5,2.1,7.7,5.4,4.7,3.6,4.6,5.5,3.0,2.0,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,2.8,Medium
EMP12729,Perempuan,30.0,S1,Menikah,HR,12.8,BUMN,Ya,10.2,1.2,6.7,6.8,2.1,7.0,5.8,5.2,6.1,7.4,28.18,3.0,3.0,Ringan,Kadang,Tidak Ada,Tidak Ada,Cukup Aman,3.5,Medium
EMP03772,Perempuan,30.0,S1,Menikah,Operations,2.4,Freelance,Tidak,6.0,0.3,6.5,6.1,4.0,7.5,4.4,7.6,7.7,8.5,6.0,0.0,0.0,Sangat Ringan,Tidak,Tidak Ada,Sakit Kepala,Sangat Aman,1.0,Low
EMP09786,Laki-laki,27.0,D3,Belum Menikah,Operations,0.1,Freelance,Tidak,8.4,3.1,6.6,5.9,1.5,4.8,4.5,5.2,5.7,5.9,5.9,6.0,4.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,6.6,Medium
EMP13127,Perempuan,35.0,S1,Menikah,Data,4.1,BUMN,Ya,9.9,3.2,5.1,3.4,0.8,9.4,9.0,1.9,4.3,5.4,3.9,7.0,4.0,Sangat Berat,Ya,Pernah Depresi,Kelelahan,Khawatir,6.9,High
EMP08324,Perempuan,29.0,S2,Menikah,Product,0.1,BUMN,Ya,12.0,1.6,7.4,4.7,0.8,6.1,7.5,2.2,3.6,1.8,5.8,4.0,5.0,Berat,Tidak,Pernah Depresi,Sakit Kepala,Cukup Aman,9.4,High
EMP15834,Laki-laki,35.0,S1,Menikah,IT,0.1,BUMN,Hybrid,9.1,0.0,6.5,7.5,3.4,9.1,3.8,9.6,7.1,7.8,7.0,2.0,0.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,2.5,Low
EMP07411,Laki-laki,24.0,S1,Belum Menikah,IT,4.1,Swasta,Tidak,6.2,0.9,6.5,6.8,2.3,10.4,2.9,6.8,8.6,7.6,6.1,1.0,2.0,Sedang,Kadang,Pernah Depresi,Tidak Ada,Cukup Aman,3.0,Low
EMP17527,Laki-laki,25.0,S1,Belum Menikah,HR,2.2,Freelance,Tidak,10.0,2.0,7.4,4.9,1.0,10.2,6.8,6.5,5.0,7.5,7.2,2.0,1.0,Sedang,Kadang,Tidak Ada,Nyeri Punggung,Cukup Aman,6.2,Medium
EMP07409,Laki-laki,32.0,S1,Belum Menikah,Operations,0.8,Startup,Tidak,14.0,2.9,5.4,3.0,0.0,5.8,8.8,1.5,3.3,3.2,,5.0,3.0,Sangat Berat,Kadang,Pernah Depresi,Nyeri Punggung,Tidak Aman,8.0,High
EMP06418,Perempuan,33.0,SMA/SMK,Menikah,Product,2.8,BUMN,Ya,7.9,,6.5,6.6,3.4,4.6,2.8,6.4,7.4,6.8,7.2,2.0,1.0,Sangat Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,2.0,Low
EMP11019,Laki-laki,19.0,SMA/SMK,Menikah,HR,3.6,Corporate,Ya,12.6,3.1,5.2,5.9,0.7,6.2,10.0,2.1,3.4,4.3,3.7,4.0,,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Khawatir,8.9,High
EMP12528,Laki-laki,22.0,S2,Belum Menikah,Finance,0.8,Corporate,Ya,5.5,0.5,7.1,7.1,3.2,6.3,4.4,10.0,6.2,8.1,6.7,2.0,1.0,Sangat Ringan,Ya,Pernah Depresi,Tidak Ada,Aman,1.2,Low
EMP03532,Perempuan,27.0,S1,Menikah,Data,0.3,Corporate,Ya,13.3,2.5,5.2,2.9,1.0,7.2,8.6,1.3,2.6,2.7,1.1,5.0,2.0,Sangat Berat,Tidak,Tidak Ada,Mata Lelah,Cukup Aman,7.8,High
EMP11236,Laki-laki,32.0,SMA/SMK,Menikah,Operations,9.1,Corporate,Hybrid,8.8,1.1,6.1,6.9,3.7,8.7,4.7,5.1,6.3,4.6,7.1,3.0,2.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,2.5,Medium
EMP00442,Perempuan,28.0,SMA/SMK,Menikah,HR,0.9,Startup,Ya,4.0,0.0,7.7,6.0,5.2,8.5,4.2,7.2,7.9,6.7,tidak tahu,2.0,3.0,Sedang,Ya,Tidak Ada,Tidak Ada,Aman,2.0,Low
EMP00450,Laki-laki,27.0,S2,Menikah,Marketing,3.2,Swasta,Tidak,8.2,0.0,38.35,6.7,4.6,11.1,4.6,8.3,5.9,7.6,3.4,3.0,1.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Aman,2.7,Low
EMP07015,Laki-laki,39.0,SMA/SMK,,Operations,4.4,Freelance,Tidak,7.6,0.9,8.8,7.8,3.3,11.0,2.5,6.9,8.6,7.8,5.6,3.0,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,3.0,Low
EMP13736,Laki-laki,32.0,S2,Belum Menikah,Sales,1.0,Corporate,Hybrid,10.5,1.0,6.8,6.7,2.2,6.7,6.1,6.0,4.9,5.5,6.8,2.0,3.0,Sedang,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,3.0,Medium
EMP13200,Perempuan,24.0,D3,Belum Menikah,Finance,5.4,Startup,Ya,7.6,0.2,8.5,5.4,2.7,7.4,3.7,5.2,7.6,7.8,6.6,3.0,0.0,Sedang,Tidak,Pernah Depresi,Tidak Ada,Aman,3.1,Low
EMP07250,Perempuan,28.0,S2,Menikah,Sales,3.5,Corporate,Hybrid,7.4,0.0,8.1,6.4,4.1,10.3,3.8,8.1,8.2,7.3,7.6,3.0,0.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,2.1,Low
EMP17813,Perempuan,27.0,D3,Belum Menikah,HR,0.6,Corporate,Ya,11.3,3.1,,3.0,0.7,4.3,10.0,7.0,3.8,1.8,2.7,5.0,5.0,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,6.6,High
EMP14275,Laki-laki,22.0,S2,Menikah,Marketing,1.8,Swasta,Hybrid,6.4,0.0,8.5,7.6,2.9,10.3,4.0,7.6,4.0,6.4,7.1,4.0,1.0,Sangat Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,1.1,Low
EMP03055,Perempuan,44.0,S1,Belum Menikah,Sales,1.3,BUMN,Tidak,13.3,2.1,6.2,2.3,0.4,10.4,9.4,3.6,3.4,4.0,3.3,5.0,5.0,Berat,Ya,Kecemasan,Nyeri Punggung,Khawatir,9.0,High
EMP17984,Perempuan,37.0,S2,Belum Menikah,Data,3.8,Swasta,Hybrid,6.9,0.0,6.6,6.1,3.5,9.4,4.9,7.6,9.5,8.3,4.6,1.0,1.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,1.0,Low
EMP06499,Perempuan,35.0,S1,Belum Menikah,Marketing,6.2,BUMN,Tidak,11.1,3.1,5.3,2.9,0.5,6.9,8.8,4.6,2.7,4.3,3.5,4.0,5.0,Sangat Berat,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,6.9,High
EMP01651,Laki-laki,22.0,S2,Belum Menikah,Sales,0.4,Freelance,Ya,6.5,1.8,8.7,6.7,2.4,7.6,5.1,4.7,6.7,5.4,6.4,,0.0,Ringan,Kadang,Tidak Ada,Sakit Kepala,Cukup Aman,3.6,Low
EMP17230,Laki-laki,22.0,S2,Belum Menikah,Operations,0.5,BUMN,Ya,8.1,1.1,8.0,5.7,3.2,9.4,5.0,8.0,7.2,7.5,6.2,2.0,2.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,2.6,Low
EMP03750,Perempuan,25.0,SMA/SMK,Menikah,IT,3.7,Swasta,Ya,8.7,1.5,6.1,6.4,2.7,8.1,5.1,4.8,5.7,6.2,6.8,3.0,3.0,Ringan,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,4.2,Medium
EMP12619,Perempuan,29.0,S2,Menikah,Engineering,0.8,BUMN,Tidak,8.3,1.5,5.3,5.8,2.7,6.4,6.5,5.4,7.4,8.0,7.2,2.0,2.0,Berat,Ya,Pernah Depresi,Sakit Kepala,Cukup Aman,4.2,Medium
EMP16043,Laki-laki,26.0,S1,Belum Menikah,ENGINEERING,7.1,Startup,Hybrid,9.5,3.6,4.6,4.7,2.1,8.2,8.0,3.1,2.8,5.3,4.2,4.0,3.0,Berat,Tidak,Tidak Ada,Mata Lelah,Tidak Aman,7.3,High
EMP06787,Perempuan,36.0,S2,Menikah,Data,1.2,Corporate,Hybrid,9.1,2.2,5.1,6.7,1.9,12.1,5.5,7.0,6.6,4.7,6.6,1.0,3.0,Berat,Tidak,Tidak Ada,Sakit Kepala,Aman,3.2,Medium
EMP00904,Laki-laki,31.0,D3,Menikah,Sales,0.4,Swasta,Ya,8.6,0.9,7.0,7.9,4.4,8.7,3.5,9.9,8.3,8.4,6.8,3.0,2.0,Ringan,Tidak,Tidak Ada,Sakit Kepala,Aman,1.5,Low
EMP15302,Perempuan,32.0,D3,Belum Menikah,IT,3.9,Corporate,Tidak,11.5,2.2,4.8,5.8,2.5,8.0,7.2,2.9,1.3,5.1,2.0,5.0,3.0,Sedang,Tidak,Kecemasan,Mata Lelah,Khawatir,6.5,High
EMP01532,Laki-laki,24.0,D3,Menikah,Sales,11.0,BUMN,Ya,8.2,1.2,6.3,2.3,2.2,8.4,4.6,6.3,4.7,6.0,7.1,2.0,1.0,Berat,Kadang,Tidak Ada,Nyeri Punggung,Aman,5.2,Medium
EMP04957,Laki-laki,35.0,S2,Belum Menikah,Sales,0.3,Startup,Ya,11.8,2.6,5.3,3.3,0.8,9.8,8.5,4.1,3.2,4.0,3.9,6.0,4.0,Berat,Ya,Kecemasan,Kelelahan,Tidak Aman,6.5,High
EMP07057,Laki-laki,35.0,S1,Menikah,Data,3.1,Swasta,Ya,10.8,0.6,5.4,5.1,2.2,9.5,8.2,6.3,5.6,6.6,5.5,2.0,3.0,Sedang,Kadang,Tidak Ada,Tidak Ada,Aman,4.2,Medium
EMP16375,Perempuan,33.0,S2,Menikah,Operations,2.0,Freelance,Ya,5.0,0.5,7.0,8.4,2.8,7.6,2.8,9.0,10.0,7.2,7.4,0.0,1.0,Sedang,Kadang,Tidak Ada,Tidak Ada,Cukup Aman,3.2,Low
EMP00784,Laki-laki,36.0,S1,Menikah,Data,0.1,Freelance,Tidak,6.6,0.9,6.7,7.2,2.6,6.9,2.9,6.3,5.8,5.6,8.9,1.0,1.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Sangat Aman,2.2,Low
EMP04102,Laki-laki,30.0,D3,Belum Menikah,Data,0.7,Freelance,Tidak,13.6,3.9,3.9,4.3,0.0,8.4,9.0,3.7,2.7,4.3,1.2,,6.0,Sangat Berat,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,5.8,High
EMP13833,Perempuan,26.0,SMA/SMK,Menikah,Engineering,0.1,Freelance,Hybrid,12.2,3.5,5.1,3.5,0.8,6.4,6.6,3.0,3.7,6.2,2.3,3.0,4.0,Sangat Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,8.2,High
EMP14405,Perempuan,31.0,SMA/SMK,Belum Menikah,Engineering,6.1,Startup,Ya,9.0,3.1,5.8,5.5,1.0,8.3,4.5,6.9,6.5,6.6,7.4,3.0,2.0,Sedang,Ya,Tidak Ada,Sakit Kepala,Tidak Aman,3.1,Medium
EMP06484,Perempuan,31.0,D3,Belum Menikah,Finance,2.8,BUMN,Tidak,,0.0,7.6,5.8,4.6,8.4,4.2,6.2,9.8,6.1,6.9,3.0,1.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Sangat Aman,3.1,Low
EMP07492,Laki-laki,32.0,S1,Belum Menikah,Finance,5.6,Corporate,Tidak,12.3,3.9,4.7,4.3,0.0,7.5,8.9,1.9,4.5,5.7,2.8,4.0,5.0,Berat,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,8.0,High
EMP15297,Laki-laki,19.0,S1,Belum Menikah,HR,6.8,Freelance,Ya,10.0,2.0,5.3,4.2,3.0,9.9,4.5,,4.8,7.5,2.3,2.0,2.0,Berat,Tidak,Tidak Ada,Nyeri Punggung,Aman,5.8,Medium
EMP11578,Perempuan,27.0,S1,Menikah,Finance,1.6,Corporate,Tidak,8.2,2.6,6.7,5.5,2.6,10.6,6.1,4.2,6.7,5.8,4.6,3.0,1.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,6.2,Medium
EMP17472,Perempuan,30.0,D3,Menikah,IT,0.8,Startup,Tidak,10.7,0.8,6.2,5.6,,11.4,6.0,6.4,5.1,7.0,7.0,3.0,,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,3.6,Medium
