jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,departemen,lama_bekerja_tahun,tipe_perusahaan,status_wfh,jam_kerja_per_hari,jam_lembur_per_hari,jam_tidur_per_hari,kualitas_tidur,frekuensi_olahraga_per_minggu,jam_layar_per_hari,tingkat_stres,kepuasan_kerja,work_life_balance,produktivitas_diri,dukungan_atasan,frekuensi_meeting_per_hari,jumlah_deadline_per_minggu,beban_kerja_persepsi,status_merokok,riwayat_kesehatan_mental,keluhan_fisik_utama,keamanan_pekerjaan,frekuensi_konflik_kerja,tingkat_burnout_label
Perempuan,35,S1,Menikah,Data,4,BUMN,Ya,10,3,5,3,1,9,9,2,4,5,4,7,4,Sangat Berat,Ya,Pernah Depresi,Kelelahan,Tidak Aman,7,High
Perempuan,29,S2,Menikah,Product,0,BUMN,Ya,12,2,7,5,1,6,8,2,4,2,6,4,5,Berat,Tidak,Pernah Depresi,Sakit Kepala,Cukup Aman,9,High
Laki-laki,35,S1,Menikah,It,0,BUMN,Hybrid,9,0,6,8,3,9,4,10,7,8,7,2,0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,2,Low
Laki-laki,24,S1,Belum Menikah,It,4,Swasta,Tidak,6,1,6,7,2,10,3,7,9,8,6,1,2,Sedang,Kadang,Pernah Depresi,Tidak Ada,Cukup Aman,3,Low
Laki-laki,25,S1,Belum Menikah,Hr,2,Freelance,Tidak,10,2,7,5,1,10,7,6,5,8,7,2,1,Sedang,Kadang,Tidak Ada,Nyeri Punggung,Cukup Aman,6,Medium
Laki-laki,32,S1,Belum Menikah,Operations,1,Startup,Tidak,14,3,5,3,0,6,9,2,3,3,5,5,3,Sangat Berat,Kadang,Pernah Depresi,Nyeri Punggung,Tidak Aman,8,High
Perempuan,33,S1,Menikah,Product,3,BUMN,Ya,8,2,6,7,3,5,3,6,7,7,7,2,1,Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,2,Low
Laki-laki,19,S1,Menikah,Hr,4,Swasta,Ya,13,3,5,6,1,6,10,2,3,4,4,4,3,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,9,High
Laki-laki,22,S2,Belum Menikah,Finance,1,Swasta,Ya,6,0,7,7,3,6,4,10,6,8,7,2,1,Ringan,Ya,Pernah Depresi,Tidak Ada,Aman,1,Low
Perempuan,27,S1,Menikah,Data,0,Swasta,Ya,13,2,5,3,1,7,9,1,3,3,1,5,2,Sangat Berat,Tidak,Tidak Ada,Mata Lelah,Cukup Aman,8,High
Laki-laki,32,S1,Menikah,Operations,9,Swasta,Hybrid,9,1,6,7,4,9,5,5,6,5,7,3,2,Ringan,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,2,Medium
Perempuan,28,S1,Menikah,Hr,1,Startup,Ya,4,0,8,6,5,8,4,7,8,7,5,2,3,Sedang,Ya,Tidak Ada,Tidak Ada,Aman,2,Low
Laki-laki,27,S2,Menikah,Marketing,3,Swasta,Tidak,8,0,24,7,5,11,5,8,6,8,3,3,1,Ringan,Tidak,Pernah Depresi,Tidak Ada,Aman,3,Low
Laki-laki,39,S1,Belum Menikah,Operations,4,Freelance,Tidak,8,1,9,8,3,11,2,7,9,8,6,3,1,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,3,Low
Laki-laki,32,S2,Belum Menikah,Sales,1,Swasta,Hybrid,10,1,7,7,2,7,6,6,5,6,7,2,3,Sedang,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,3,Medium
Perempuan,24,D3,Belum Menikah,Finance,5,Startup,Ya,8,0,8,5,3,7,4,5,8,8,7,3,0,Sedang,Tidak,Pernah Depresi,Tidak Ada,Aman,3,Low
Perempuan,28,S2,Menikah,Sales,4,Swasta,Hybrid,7,0,8,6,4,10,4,8,8,7,8,3,0,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,2,Low
Perempuan,27,D3,Belum Menikah,Hr,1,Swasta,Ya,11,3,6,3,1,4,10,7,4,2,3,5,5,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,7,High
Laki-laki,22,S2,Menikah,Marketing,2,Swasta,Hybrid,6,0,8,8,3,10,4,8,4,6,7,4,1,Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,1,Low
Perempuan,44,S1,Belum Menikah,Sales,1,BUMN,Tidak,13,2,6,2,0,10,9,4,3,4,3,5,5,Berat,Ya,Kecemasan,Nyeri Punggung,Tidak Aman,9,High
Perempuan,37,S2,Belum Menikah,Data,4,Swasta,Hybrid,7,0,7,6,4,9,5,8,10,8,5,1,1,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,1,Low
Perempuan,35,S1,Belum Menikah,Marketing,6,BUMN,Tidak,11,3,5,3,0,7,9,5,3,4,4,4,5,Sangat Berat,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,7,High
Laki-laki,22,S2,Belum Menikah,Sales,0,Freelance,Ya,6,2,9,7,2,8,5,5,7,5,6,3,0,Ringan,Kadang,Tidak Ada,Sakit Kepala,Cukup Aman,4,Low
Laki-laki,22,S2,Belum Menikah,Operations,0,BUMN,Ya,8,1,8,6,3,9,5,8,7,8,6,2,2,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,3,Low
Perempuan,25,S1,Menikah,It,4,Swasta,Ya,9,2,6,6,3,8,5,5,6,6,7,3,3,Ringan,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,4,Medium
Perempuan,29,S2,Menikah,Engineering,1,BUMN,Tidak,8,2,5,6,3,6,6,5,7,8,7,2,2,Berat,Ya,Pernah Depresi,Sakit Kepala,Cukup Aman,4,Medium
Laki-laki,26,S1,Belum Menikah,Engineering,7,Startup,Hybrid,10,4,5,5,2,8,8,3,3,5,4,4,3,Berat,Tidak,Tidak Ada,Mata Lelah,Tidak Aman,7,High
Perempuan,36,S2,Menikah,Data,1,Swasta,Hybrid,9,2,5,7,2,12,6,7,7,5,7,1,3,Berat,Tidak,Tidak Ada,Sakit Kepala,Aman,3,Medium
Laki-laki,31,D3,Menikah,Sales,0,Swasta,Ya,9,1,7,8,4,9,4,10,8,8,7,3,2,Ringan,Tidak,Tidak Ada,Sakit Kepala,Aman,2,Low
Perempuan,32,D3,Belum Menikah,It,4,Swasta,Tidak,12,2,5,6,2,8,7,3,1,5,2,5,3,Sedang,Tidak,Kecemasan,Mata Lelah,Tidak Aman,6,High
Laki-laki,24,D3,Menikah,Sales,11,BUMN,Ya,8,1,6,2,2,8,5,6,5,6,7,2,1,Berat,Kadang,Tidak Ada,Nyeri Punggung,Aman,5,Medium
Laki-laki,35,S2,Belum Menikah,Sales,0,Startup,Ya,12,3,5,3,1,10,8,4,3,4,4,6,4,Berat,Ya,Kecemasan,Kelelahan,Tidak Aman,6,High
Laki-laki,35,S1,Menikah,Data,3,Swasta,Ya,11,1,5,5,2,10,8,6,6,7,6,2,3,Sedang,Kadang,Tidak Ada,Tidak Ada,Aman,4,Medium
Perempuan,33,S2,Menikah,Operations,2,Freelance,Ya,5,0,7,8,3,8,3,9,10,7,7,0,1,Sedang,Kadang,Tidak Ada,Tidak Ada,Cukup Aman,3,Low
Laki-laki,36,S1,Menikah,Data,0,Freelance,Tidak,7,1,7,7,3,7,3,6,6,6,9,1,1,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Sangat Aman,2,Low
Laki-laki,30,D3,Belum Menikah,Data,1,Freelance,Tidak,14,4,4,4,0,8,9,4,3,4,1,3,6,Sangat Berat,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,6,High
Perempuan,26,S1,Menikah,Engineering,0,Freelance,Hybrid,12,4,5,4,1,6,7,3,4,6,2,3,4,Sangat Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,8,High
Perempuan,31,S1,Belum Menikah,Engineering,6,Startup,Ya,9,3,6,6,1,8,4,7,6,7,7,3,2,Sedang,Ya,Tidak Ada,Sakit Kepala,Tidak Aman,3,Medium
Perempuan,31,D3,Belum Menikah,Finance,3,BUMN,Tidak,10,0,8,6,5,8,4,6,10,6,7,3,1,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Sangat Aman,3,Low
Laki-laki,32,S1,Belum Menikah,Finance,6,Swasta,Tidak,12,4,5,4,0,8,9,2,4,6,3,4,5,Berat,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,8,High
Laki-laki,19,S1,Belum Menikah,Hr,7,Freelance,Ya,10,2,5,4,3,10,4,6,5,8,2,2,2,Berat,Tidak,Tidak Ada,Nyeri Punggung,Aman,6,Medium
Perempuan,27,S1,Menikah,Finance,2,Swasta,Tidak,8,3,7,6,3,11,6,4,7,6,5,3,1,Sedang,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,6,Medium
Perempuan,30,D3,Menikah,It,1,Startup,Tidak,11,1,6,6,2,11,6,6,5,7,7,3,3,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,4,Medium
Laki-laki,22,S1,Menikah,Finance,9,Swasta,Tidak,9,2,6,4,2,7,6,6,5,5,5,3,3,Sedang,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,6,Medium
Laki-laki,33,S2,Menikah,Data,1,Freelance,Ya,12,3,7,5,0,11,7,1,4,5,6,6,4,Berat,Tidak,Tidak Ada,Mata Lelah,Cukup Aman,7,High
Perempuan,19,S1,Belum Menikah,Data,1,BUMN,Tidak,12,5,6,3,0,8,9,4,4,4,4,5,4,Sangat Berat,Ya,Tidak Ada,Sakit Kepala,Tidak Aman,6,High
Perempuan,26,D3,Belum Menikah,Hr,8,Freelance,Hybrid,6,1,7,7,2,9,2,7,8,8,6,2,0,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,2,Low
Perempuan,29,S2,Menikah,Product,1,Swasta,Hybrid,9,2,6,6,2,6,6,7,6,5,5,2,4,Ringan,Kadang,Pernah Depresi,Tidak Ada,Tidak Aman,5,Medium
Perempuan,20,S1,Menikah,Engineering,2,Swasta,Hybrid,8,0,8,7,3,6,3,7,8,7,9,3,1,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,1,Low
Perempuan,29,S1,Menikah,Data,2,Startup,Ya,6,0,7,7,3,13,5,8,8,8,7,3,1,Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,3,Low
Laki-laki,27,S2,Belum Menikah,It,2,BUMN,Hybrid,10,1,7,6,2,8,6,6,5,5,5,4,4,Sedang,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,5,Medium
Laki-laki,35,S1,Belum Menikah,Product,0,Swasta,Ya,8,0,6,7,5,5,4,7,8,7,6,0,3,Ringan,Kadang,Tidak Ada,Tidak Ada,Cukup Aman,1,Low
Laki-laki,29,S2,Menikah,It,1,Startup,Hybrid,12,1,6,4,1,13,6,5,4,6,2,4,2,Ringan,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,4,Medium
Laki-laki,32,S1,Belum Menikah,Sales,1,BUMN,Hybrid,10,0,7,6,3,6,5,6,5,7,8,5,0,Sedang,Tidak,Pernah Depresi,Nyeri Punggung,Cukup Aman,5,Medium
Perempuan,22,S1,Belum Menikah,Engineering,2,Swasta,Tidak,12,2,5,4,2,9,10,3,3,3,4,4,6,Sangat Berat,Kadang,Tidak Ada,Sakit Kepala,Tidak Aman,7,High
Laki-laki,32,S1,Menikah,Product,12,Startup,Hybrid,12,2,5,6,0,8,8,3,2,4,4,4,4,Sedang,Tidak,Pernah Depresi,Sakit Kepala,Tidak Aman,8,High
Laki-laki,33,S2,Belum Menikah,Hr,2,Freelance,Tidak,9,2,7,6,3,6,6,4,6,7,5,3,2,Sedang,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,5,Medium
Laki-laki,32,S1,Belum Menikah,Marketing,1,BUMN,Tidak,12,3,8,4,1,7,9,4,3,5,1,3,5,Sedang,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,7,High
Perempuan,28,S1,Menikah,Hr,4,Freelance,Hybrid,11,2,5,4,2,10,8,3,4,6,4,6,4,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Cukup Aman,6,High
Laki-laki,29,D3,Belum Menikah,Operations,0,BUMN,Ya,7,1,7,7,5,6,4,7,8,6,5,2,3,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,2,Low
Laki-laki,26,S1,Belum Menikah,Marketing,2,Startup,Ya,9,1,6,8,2,9,6,5,6,5,4,4,1,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,4,Medium
Perempuan,27,S2,Belum Menikah,It,2,Swasta,Tidak,10,1,6,5,1,6,7,3,8,6,5,4,1,Sedang,Ya,Tidak Ada,Tidak Ada,Cukup Aman,6,Medium
Laki-laki,18,D3,Belum Menikah,Operations,0,Swasta,Tidak,10,2,5,3,1,6,10,4,4,4,4,6,5,Berat,Tidak,Tidak Ada,Mata Lelah,Tidak Aman,8,High
Perempuan,20,S1,Menikah,Finance,13,Swasta,Hybrid,11,2,5,4,0,7,9,2,3,5,3,5,4,Sedang,Tidak,Kecemasan,Nyeri Punggung,Cukup Aman,8,High
Laki-laki,22,S2,Menikah,Marketing,2,Swasta,Tidak,8,0,7,7,3,9,3,7,8,8,6,1,2,Ringan,Tidak,Pernah Depresi,Tidak Ada,Aman,3,Low
Perempuan,33,S1,Menikah,Hr,3,Swasta,Tidak,8,1,7,9,3,10,3,7,9,7,6,3,1,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,2,Low
Laki-laki,35,S2,Belum Menikah,Operations,2,BUMN,Tidak,9,3,8,6,2,9,6,3,6,6,6,2,2,Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,6,Medium
Laki-laki,28,S1,Menikah,Operations,2,Swasta,Hybrid,12,4,5,3,3,5,10,10,3,5,1,5,4,Sangat Berat,Tidak,Tidak Ada,Mata Lelah,Tidak Aman,8,High
Perempuan,22,S1,Menikah,Engineering,9,Freelance,Ya,11,2,7,6,4,10,7,6,5,7,6,4,3,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,5,Medium
Laki-laki,26,S1,Belum Menikah,It,1,Freelance,Hybrid,7,3,7,6,2,9,8,6,3,6,7,3,3,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,4,Medium
Perempuan,32,S2,Belum Menikah,Marketing,0,Freelance,Tidak,12,1,5,5,3,9,6,4,6,9,7,2,2,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,5,Medium
Laki-laki,29,S2,Menikah,Hr,2,Freelance,Tidak,10,4,6,2,0,10,9,4,2,5,2,5,3,Berat,Tidak,Pernah Depresi,Kelelahan,Tidak Aman,6,High
Laki-laki,20,S2,Menikah,Product,0,Startup,Ya,8,0,8,6,2,7,3,9,7,9,9,2,0,Ringan,Ya,Pernah Depresi,Tidak Ada,Cukup Aman,2,Low
Laki-laki,40,S1,Belum Menikah,It,6,BUMN,Ya,11,2,7,5,2,24,6,3,5,3,6,4,2,Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,5,Medium
Laki-laki,43,S2,Belum Menikah,Engineering,1,Freelance,Tidak,10,2,6,6,2,8,6,8,5,5,7,3,4,Berat,Ya,Tidak Ada,Nyeri Punggung,Tidak Aman,4,Medium
Perempuan,27,D3,Belum Menikah,Operations,8,Swasta,Ya,10,1,6,5,2,10,8,7,7,6,6,5,2,Sedang,Tidak,Tidak Ada,Tidak Ada,Aman,3,Medium
Perempuan,39,S1,Menikah,Finance,1,Swasta,Tidak,7,1,8,9,4,9,5,6,9,5,9,0,3,Sedang,Ya,Tidak Ada,Tidak Ada,Cukup Aman,1,Low
Laki-laki,28,S1,Menikah,Hr,1,Freelance,Ya,13,3,6,1,3,7,6,3,4,3,3,3,4,Berat,Tidak,Kecemasan,Sakit Kepala,Tidak Aman,6,High
Laki-laki,26,S1,Belum Menikah,Hr,3,Startup,Ya,5,0,8,6,4,5,4,7,8,9,8,2,1,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,1,Low
Laki-laki,29,S1,Menikah,Hr,0,Startup,Tidak,11,4,5,4,2,9,10,4,2,4,5,3,5,Berat,Ya,Pernah Depresi,Kelelahan,Tidak Aman,8,High
Laki-laki,26,S1,Belum Menikah,Marketing,2,Swasta,Ya,11,5,5,10,0,8,9,2,3,6,2,4,4,Sangat Berat,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,6,High
